type,address_1,address_2,open_hours,city,state,postal_code,latitude,longitude
Pizza Hut,41263C Al Hwy. 75,,11:00 AM - 10:00 PM,Geraldine,AL,35974,34.3592,-86.024
Pizza Hut,915 Fort Dale Rd,,10:00 AM - 10:00 PM,Greenville,AL,36037,31.81,-86.6229
Pizza Hut Express,3820 Gulf Shores Pkwy.,,,Gulf Shores,AL,36542,30.2717,-87.7589
Pizza Hut,1819 11th Avenue,,11:00 AM - 10:00 PM,Haleyville,AL,35565,34.2314,-87.5938
Pizza Hut,360 Bexar Ave. East,,11:00 AM - 10:00 PM,Hamilton,AL,35570,34.1534,-88.0085
Pizza Hut,200 Highway 31 SW,,10:00 AM - 10:00 PM,Hartselle,AL,35640,34.4482,-86.9242
Pizza Hut,16640 US Highway,#431,10:30 AM - 10:00 PM,Headland,AL,36345,31.3534,-85.3323
Pizza Hut,495 Helena Market Place,,10:00 AM - 10:00 PM,Helena,AL,35080,33.2663,-86.902
Pizza Hut,2312 John Hawkins Pkwy,,10:00 AM - 10:00 PM,Hoover,AL,35244,33.3538,-86.8254
Pizza Hut Express,5561 Grove Blvd.,,,Hoover,AL,35226,33.3967,-86.8346
Pizza Hut,3029 Allison Bonnett Memorial Dr,# 109,10:00 AM - 11:00 PM,Hueytown,AL,35023,33.468,-87.0924
Pizza Hut,11570 Memorial Pkwy S,,11:00 AM - 10:00 PM,Huntsville,AL,35803,34.6205,-86.551
Pizza Hut,2246 Winchester Rd. NE,Unit #308,11:00 AM - 10:00 PM,Huntsville,AL,35811,34.7789,-86.5438
Pizza Hut,2417 N Memorial Pkwy,,11:00 AM - 8:00 PM,Huntsville,AL,35810,34.7784,-86.6091
Pizza Hut Express,2750 Carl T Jones Drive SE,Target - T1367,,Huntsville,AL,35802,34.6679,-86.5603
Pizza Hut,4802 University Dr NW,,11:00 AM - 10:00 PM,Huntsville,AL,35816,34.7389,-86.6249
Pizza Hut Express,6275 University Drive NW,Target - T1346,,Huntsville,AL,35806,34.7448,-86.6704
Pizza Hut Express,4623 Grantswood Rd,Quick Shop #23,,Irondale,AL,35210,33.5452,-86.6655
Pizza Hut,2123 N. College,,10:00 AM - 10:00 PM,Jackson,AL,36545,31.5131,-87.8672
Pizza Hut,816 Pelham Rd S,,10:30 AM - 10:00 PM,Jacksonville,AL,36265,33.831,-85.7752
Pizza Hut,1160 Hwy 78 East,,10:30 AM - 10:00 PM,Jasper,AL,35501,33.8312,-87.2775
Pizza Hut,24557 US Hwy. 31,,10:00 AM - 10:00 PM,Jemison,AL,35085,32.9805,-86.7181
Pizza Hut,1127 Highway 72,#8,11:00 AM - 10:00 PM,Killen,AL,35645,34.9016,-87.5082
Pizza Hut,424 S. Forest Ave.,,11:00 AM - 10:00 PM,Luverne,AL,36049,31.7074,-86.2566
Pizza Hut,7950 Highway 72 W,,11:00 AM - 11:00 PM,Madison,AL,35758,34.7108,-86.7425
Pizza Hut Express,8207 Highway 72 W,,,Madison,AL,35758,34.7108,-86.7425
Pizza Hut,8830 Madison Blvd,,11:00 AM - 11:00 PM,Madison,AL,35758,34.7108,-86.7425
Pizza Hut,11818 US Hwy 231/431 North,,11:00 AM - 10:00 PM,Meridianville,AL,35759,34.8618,-86.5789
Pizza Hut,4110 Highway 14,,10:00 AM - 10:00 PM,Millbrook,AL,36054,32.4995,-86.3641
Pizza Hut,1866-A Government St,,10:00 AM - 10:00 PM,Mobile,AL,36606,30.6729,-88.1009
Pizza Hut,1956 S University,,10:00 AM - 10:00 PM,Mobile,AL,36609,30.6605,-88.1618
Pizza Hut,2502 Schillinger,,10:00 AM - 10:00 PM,Mobile,AL,36695,30.6474,-88.2292
Pizza Hut Express,307 N. University Blvd.,University Of South Alabama,,Mobile,AL,36688,30.6962,-88.1821
Pizza Hut,5821 Old Shell Rd,Ste G,10:00 AM - 11:00 PM,Mobile,AL,36608,30.6817,-88.2945
Pizza Hut,7745-A Moffat Rd,,10:00 AM - 11:00 PM,Mobile,AL,36618,30.7322,-88.1758
Pizza Hut,2060 S. Hwy. 21 Bypass,,10:00 AM - 10:00 PM,Monroeville,AL,36460,31.5153,-87.341
Pizza Hut,750 Main St.,,10:00 AM - 10:00 PM,Montevallo,AL,35115,33.1248,-86.8622
Pizza Hut Express,1061 Eastern Blvd,Lion's Pride #4 Eastern Bypass,,Montgomery,AL,36117,32.3736,-86.1833
Pizza Hut,2865 E South Blvd,,10:00 AM - 10:00 PM,Montgomery,AL,36116,32.3129,-86.2421
Pizza Hut,3992 Atlanta Highway,,10:00 AM - 11:00 PM,Montgomery,AL,36106,32.3543,-86.2673
Pizza Hut,6371 Atlanta Hwy,,10:00 AM - 10:00 PM,Montgomery,AL,36117,32.3736,-86.1833
Pizza Hut,7827 Vaughn Rd,,11:00 AM - 8:00 PM,Montgomery,AL,36116,32.3129,-86.2421
Pizza Hut,11930 Hwy 157,,11:00 AM - 10:00 PM,Moulton,AL,35650,34.5058,-87.2224
Pizza Hut,611 E. Avalon Ave,,10:00 AM - 10:00 PM,Muscle Shoals,AL,35661,34.7561,-87.6304
Pizza Hut,720 2nd Ave E,,10:00 AM - 8:00 PM,Oneonta,AL,35121,33.9259,-86.4741
Pizza Hut Express,2640 Enterprise Drive,,,Opelika,AL,36801,32.6454,-85.3783
Pizza Hut,3611 Pepperell Pkwy,,11:00 AM - 10:00 PM,Opelika,AL,36801,32.6454,-85.3783
Pizza Hut,902 Florala Highway 331 South,,11:00 AM - 10:00 PM,Opp,AL,36467,31.2799,-86.2571
Pizza Hut,25908-I Canal Road,,10:00 AM - 11:00 PM,Orange Beach,AL,36561,30.281,-87.5815
Pizza Hut,6585 B Hwy 431S,,11:00 AM - 10:00 PM,Owens Cross Roads,AL,35763,34.6215,-86.4644
Pizza Hut,202 Hamric Dr E,,11:00 AM - 11:00 PM,Oxford,AL,36203,33.5815,-85.8328
Pizza Hut,1110 280 Byp,,11:00 AM - 11:00 PM,Phenix City,AL,36867,32.4978,-85.0234
Pizza Hut,2319 Lee Road 427,Suite 1,,Phenix City,AL,36867,32.4978,-85.0234
Pizza Hut Express,2953 Legends Parkway,,,Prattville,AL,36066,32.4787,-86.43
Pizza Hut,711 E Main St,,10:00 AM - 10:00 PM,Prattville,AL,36067,32.4715,-86.4831
Pizza Hut,3 Independent Dr,,10:00 AM - 10:00 PM,Rainbow City,AL,35906,33.9318,-86.0898
Pizza Hut,200 Main St W,Ste. 102,11:00 AM - 10:00 PM,Rainsville,AL,35986,34.4989,-85.8446
Pizza Hut,3019 Highway 431 Byp S,,10:30 AM - 10:00 PM,Roanoke,AL,36274,33.1512,-85.3722
Pizza Hut,22722 Hwy. 59 S.,,10:00 AM - 10:00 PM,Robertsdale,AL,36567,30.5616,-87.6373
Pizza Hut,16086 US Hwy 72,,11:00 AM - 10:00 PM,Rogersville,AL,35652,34.8495,-87.3237
Pizza Hut,13450 Highway 43,,10:00 AM - 10:00 PM,Russellville,AL,35653,34.5066,-87.7257
Pizza Hut,12 Hwy. 43 South,,10:00 AM - 10:00 PM,Saraland,AL,36571,30.8332,-88.0934
Pizza Hut,3310 S. Broad Street,,10:30 AM - 10:00 PM,Scottsboro,AL,35769,34.618,-86.0562
Pizza Hut,1121 Highland Ave,,11:00 AM - 10:00 PM,Selma,AL,36703,32.4156,-87.0135
Pizza Hut Express,2530 US Hwy 80,Lion's Pride Cross Roads,,Selma,AL,36701,32.4197,-87.0245
Pizza Hut,426 W. Lawrence Harris Hwy.,,10:30 AM - 9:00 PM,Slocomb,AL,36375,31.0956,-85.583
